User, Item, Rating, App, Data, Ease
1307,21,5,4,4,4
1309,21,5,4,4,4
1311,21,5,4,5,4
1313,21,3,3,4,4
1317,21,4,4,5,4
1318,21,4,4,4,3
1318,21,4,4,3,4
1320,21,5,5,3,3
1322,21,5,5,3,3
1325,21,4,4,3,2
1326,21,5,4,4,3
1330,21,4,4,4,4
1096,21,1,2,2,3
1096,21,2,2,2,3
1202,21,3,3,3,4
1202,21,4,3,3,3
1119,21,2,3,2,2
1048,21,5,4,4,5
1121,21,5,5,3,3
1137,21,4,5,5,3
1157,21,5,4,4,4
1020,21,5,4,5,4
1173,21,5,5,5,5
1029,21,4,3,4,3
1105,21,5,2,4,1
1281,21,1,1,1,1
1196,21,5,4,4,3
1147,21,2,2,4,4
1227,21,5,5,4,2
1097,21,2,2,2,5
1015,21,2,3,3,5
1244,21,4,4,4,3
1073,21,5,4,5,3
1014,21,4,3,2,3
1202,21,4,4,4,3
1161,21,5,5,5,4
1048,21,4,4,4,2
1246,21,5,5,3,2
1121,21,5,5,4,3
1263,21,5,5,4,5
1282,21,4,5,4,3
1065,21,5,5,5,3
1007,21,5,4,5,4
1179,21,1,2,3,3
1082,21,2,3,2,3
1053,21,3,4,4,3
1044,21,5,4,4,5
1143,21,4,4,4,3
1264,21,4,3,4,3
1040,21,5,5,5,5
1068,21,5,4,4,4
1265,21,5,5,3,2
1045,21,4,3,4,3
1230,21,4,4,3,3
1204,21,5,5,5,4
1130,21,5,5,5,5
1022,21,3,3,3,2
1128,21,5,4,4,4
1205,21,5,4,4,3
1038,21,5,1,2,4
1213,21,3,2,2,2
1122,21,5,4,5,3
1164,21,5,5,5,4
1168,21,5,5,5,3
1002,21,4,4,5,4
1066,21,1,2,2,3
1249,21,5,3,4,3
1159,21,5,5,3,4
1215,21,4,3,4,3
1105,21,3,4,3,4
1192,21,4,4,3,3
1004,21,5,5,4,3
1174,21,4,4,3,3
1119,21,4,5,5,3
1111,21,5,3,2,3
1011,21,3,2,3,2
1024,21,5,4,4,2
